tag,line,line_type,quire,page,folio,bifolio,section,language,writing_hand,currier_hand,annotations,paragraph,order0,K_topic,topic_id
f24v,6.0,1,C,P,z,1,Herbal,A,1,1,Colour annotation,tochol chor cfarsa ycheol daid olom kochky chcthy shol sain ychol chol or chor om okoeor ctheod choy keol ydaiin chear qodom okodaiin ksho foar cto sho qokch ok okchal oeeey cheol chol odor sho do otolodal doiir cheeodam sho sho dy dchey kchod dchal ochdy otchol odaiim,95,6:5,5
f25r,1.0,1,D,A,a,1,Herbal,A,1,1,Colour annotation,fcholdy soshy cky shody ocholdy cpholdy sy chor chsky chotchy shair qod shachy kchy chkain qotchy qotshy cheesees sheear chain chain dan dchckhy shocthy ytchey cthor chan chaiin qotchain qotcheaiin dchain cthain cthain qotaiin okal chotaiin dair otaiir otosy,96,6:5,5
f25v,1.0,1,D,B,a,1,Herbal,A,1,1,Colour annotation,poeeaiin qo ky shy qopchey otchey qofchor sos dchor cthor chor okeeaiin ckhey orcho kchor chol shcfho dshey daiity qokaiin qokcho shol ckhear ckhol chkear chokeey dshor dshey qochol dol cho qokcho ochy qotchy qotoralcho chain deeaiir oc'o chkey daiiol shckhorchaiin,97,6:5,5
f26r,1.0,1,D,C,b,2,Herbal,B,2,2,Colour annotation,psheoky odaiir qoyofshod chypchey ypchedy ainchofo chephdy dchey aiin adeeodyykecthey chedy ytedy dychecthedy ls oaiin shcthy cthedy oloyykeedy olchedy daly sheey aiin qokedy cheos ytedy qokedyytedy chekedydaiin odam aldy saiin shedy eedy eedy chydaiin cthedyqokeedy qokedy cthey rchedy qokedy,98,6:4,4
f26r,7.0,1,D,C,b,2,Herbal,B,2,2,Colour annotation,pcho qokedy sheo ypchseds saiinsha chedyfchy dalchedy shedy qokeedy qoteedar sokolytedy qokeedy qokedy tcheoshy dchdy okedy chckhy sdydyykeechy okeedy shese aiin sheos cheodyotal,99,6:4,4
f26v,1.0,1,D,D,b,2,Herbal,B,2,2,Colour annotation,pchedar qodary daiiin pcheety air shedy ypchedy ypchdy qopy shdy saraiir chekedy qokedy otedy etedy qokedy or ai'he alys chedy pchdar opar cheeol ofchdy otedy chdy odar chedy ytedy okchdy yckheody qokedy deey saldy okedor or cheos oraiin okeo chekaiin deeol cheody qoteedy qokody qotedy qotedy opchedy ofchy chs ar toeedy keody shedy chedy sches or cheeky chey yteedy pchedy cheoet chy sair chees odaiiin chkeeey ykey sheey tchedy okeeos cheeos ysaiin okcheey keody aiin cheeos qokes ory ysheey okeshy shody peshy todydy,100,6:4,4
f27r,1.0,1,D,E,c,3,Herbal,A,1,1,Colour annotation,ksor shey shoteo chforaiin shyshod chary dy coain shol dain shokyddchol cthey ds chol shy keol chol chy shol chydaiin chey dam qokey chor char chy dchy keeychos cthody dor chees ctho shy char ydaiin dair chy chols chor cholohaiinshy kchal dy,101,6:5,5
f27r,7.0,1,D,E,c,3,Herbal,A,1,1,Colour annotation,kchey chey kcheol pcho schey lychals cham ytchy chy chol dy chey dainchol dchey keeod shotchey chol otychy tolg qotchey shes chy tchey dy chol daiiin chees chos ctey dan dain cheokeey chey cthey otal otchodeey,102,6:5,5
f27v,1.0,1,D,F,c,3,Herbal,A,1,1,Colour annotation,pochof chof cho sho soly shol ytchar opchory kchor chor dchy chkar otchy shy shy dchy dshy kchy cheo daidy dchy kchey kchy dchokchy dsho dcar chodchy etcheody shld okcho chy kcheed chl chol kodo oksho do cheesg qoky sh keeo scho shkolchotchy ctho dol dsho kchrrr okeedydchschysotchdy sho shoykcho shdydchdchschsyotchdy okshes okchokshy,103,6:5,5
f28r,1.0,1,D,G,d,4,Herbal,A,1,1,Colour annotation,pchodar shod chocphy opchol daiinotchol chy qo ldy otchor otchor cthol cty ctheol dydchar chakod dly qotchaiin shor cthol cthol shorchotchy tchodar choty chtol chotchy ctholotol choky qoty oksho otorchy kchoror chodaiinsho cthody okoy qokchol qodaiin otcholchy daiincho qokol kam sho shockhy shocthy otoldydshor dol oschotshl okchey kol daiinshol dsho otaiin ytchol deey yteol deaiin,104,6:5,5
f28v,1.0,1,D,H,d,4,Herbal,A,1,1,Colour annotation,kshol qooiiin shor pshoiiin shepchy qoty dy shory ykcholy qoty chy dy qokchol chor tchy qokchody cheor chor chol chy choiin,105,6:5,5
f28v,4.0,1,D,H,d,4,Herbal,A,1,1,Colour annotation,tshoiin cheor chor chty qotol sheol shor qoty chol chkaiin shoiin qotchey qotshey daiiin chkaiin,106,6:5,5
f28v,7.0,1,D,H,d,4,Herbal,A,1,1,Colour annotation,pchol oiir chol tsho shotcochy chtshy dair okain chan chain cthor dainykchydaiin cthol sor chear chl c' choly,107,6:5,5
f29r,1.0,1,D,I,w,4,Herbal,A,1,1,Colour annotation,posaiin she aiin chep oty chy qotchy qoty cheecthy dshe ykchy choty oky cho chchoty choky chy ty dy qokchy qoty kchaiin shear cthordchor choly chocthy qoos chos,108,6:5,5
f29r,5.0,1,D,I,w,4,Herbal,A,1,1,Colour annotation,kcheol cheor sheos sheey teey dashos octy chokshy shocthy shor shor daiinqokaiiin qokchy chol shokchy qokaiin choetychoty kaiin shor chor shosheky shy qoty kodydaiin cthy qokshe qor chey kor cheod ychom,109,6:5,5
f29v,1.0,1,D,J,w,4,Herbal,A,1,1,Colour annotation,kooiin shor chetchy ol ls shytchy cthy shycho shy qotcheaiin chol chol cthy chey ctholdytchor dary chol chol kor shey odaiin qotchy taiins she otey sy ysho otshy okaiin cthy oltchy ctosshot sho okaiin,110,6:5,5
f29v,5.0,1,D,J,w,4,Herbal,A,1,1,Colour annotation,tochon chain shan shotychshyshy dchor chol chaiin shaiin cthoddarchsshody qotcho kchor ykaiin dyshdychocthy sheky shotchor cholody dainchctichy cthody dol sho chokor chor chy ydaiin choykeeboaiin,111,6:5,5
f29v,10.0,1,D,J,w,4,Herbal,A,1,1,Colour annotation,qokoiin okaiin choctichydchykar chteor octhydarchytotody qekeochor otchey,112,6:5,5
